Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal ,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 443979,6/4/2026,000002,CLIENTE DIVERSO (REM),CLIENTE DIVERSO,CISAALMA,CARR FEDERAL FORTIN HUATUSCO 1617,EX HACIENDA LAS ANIMAS - FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FEDERAL FORTIN HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",380,"13565,04","10065,03",*PAOLA BUENO.,,CORDOBA,101
Pedido 444245,9/4/2026,A00156,DACSA DEL MERCADO,DACSA DEL MERCADO BODEGA FORTIN,CISAALMA,CARR FORTIN-HUATUSCO 830 A,HERMOSA PROVINCIA - FORTÍN,Fortín,Hermosa Provincia,94472,Fortín de las Flores,Veracruz,"CARR FORTIN-HUATUSCO 830 A,Fortín,Hermosa Provincia,Fortín de las Flores,Veracruz,94472",5350,82400,22800,*CEDI.,,CORDOBA,154
Pedido 443985,6/4/2026,A00177,DULCERA LA JOSEFINA,"""DULCERA LA JOSEFINA, S.A. DE C.V. (Dimas)""",CISAALMA,AV 21 FRACCIONAMIENTO JARDINES SAN DIMAS 1608,SAN DIMAS  - CORDOBA,Córdoba,San Dimas,94570,Córdoba,Veracruz,"AV 21 FRACCIONAMIENTO JARDINES SAN DIMAS 1608,Córdoba,San Dimas,Córdoba,Veracruz,94570","627,8",14117,1500,*PLAZA.,,CORDOBA,154
Pedido 443727,28/3/2026,A00552,SUPER SERVICIO ALATRISTE,SUPER SERVICIO ALATRISTE,CISAALMA,5 ORIENTE 329,CENTRO - TEHUACAN,Tehuacán,Centro de la Ciudad,75700,Tehuacan,Puebla,"5 ORIENTE 329,Tehuacán,Centro de la Ciudad,Tehuacan,Puebla,75700",150,4200,4200,,,PUEBLA,253
Pedido 444087,8/4/2026,A00564,TIENDAS LORES,TIENDAS LORES (TEMAZCAL),CISAALMA,AV 2 No 1269,CENTRO - TEMAZCAL,San Miguel Soyaltepec,Temascal,68430,,Oaxaca,"AV 2 No 1269,San Miguel Soyaltepec,Temascal,,Oaxaca,68430","2989,74","66839,2",500, ,,TIERRA BLANCA,101
Pedido 444084,8/4/2026,A00565,TIENDAS LORES,TIENDAS LORES (PLAYA VICENTE),CISAALMA,M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,CENTRO - PLAYA VICENTE,Playa Vicente,Lomas Verdes,95600,Playa Vicente,Veracruz,"M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,Playa Vicente,Lomas Verdes,Playa Vicente,Veracruz,95600","1292,08","28658,8",928, ,,TUXTEPEC,101
Pedido 444085,8/4/2026,A00566,TIENDAS LORES,TIENDAS LORES (VILLA AZUETA),CISAALMA,AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,CENTRO - VILLA AZUETA,José Azueta,Valle Dorado,95580,,Veracruz,"AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,José Azueta,Valle Dorado,,Veracruz,95580","1664,9",36350,686, ,,CUENCA,101
Pedido 444079,8/4/2026,A00567,TIENDAS LORES,TIENDAS LORES (BOULEVARD),CISAALMA,BOULEVARD BENITO JUAREZ Y CARR OJITLAN,MARIA EUGENIA - TUXTEPEC,San Juan Bautista Tuxtepec,Loma Alta,68350,San Juan Bautista Tuxtepec,Oaxaca,"BOULEVARD BENITO JUAREZ Y CARR OJITLAN,San Juan Bautista Tuxtepec,Loma Alta,San Juan Bautista Tuxtepec,Oaxaca,68350","2931,88","64196,4",500, ,,TUXTEPEC,101
Pedido 444075,8/4/2026,A00568,TIENDAS LORES,TIENDAS LORES (CENTRO),CISAALMA,AVENIDA 5 DE MAYO Y MATAMOROS,CENTRO - TUXTEPEC,San Juan Bautista Tuxtepec,Tuxtepec Centro,68300,San Juan Bautista Tuxtepec,Oaxaca,"AVENIDA 5 DE MAYO Y MATAMOROS,San Juan Bautista Tuxtepec,Tuxtepec Centro,San Juan Bautista Tuxtepec,Oaxaca,68300","7796,6",170272,686, ,,TUXTEPEC,101
Pedido 444076,8/4/2026,A00569,TIENDAS LORES,TIENDAS LORES (COSAMALOAPAN),CISAALMA,AV.RUIZ CORTINES No 300,CENTRO - COSAMALOAPAN,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,95400,Cosamaloapan,Veracruz,"AV.RUIZ CORTINES No 300,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400","5913,86","127922,2",1000, ,,LOS TUXTLAS,101
Pedido 444077,8/4/2026,A00572,TIENDAS LORES,TIENDAS LORES (ISLA),CISAALMA,RAUL SANDOVAL No 30,CENTRO - ISLA,Isla,Isla Centro,95640,Isla,Veracruz,"RAUL SANDOVAL No 30,Isla,Isla Centro,Isla,Veracruz,95640","2480,2",54679,242, ,,CUENCA,101
Pedido 444078,8/4/2026,A00573,TIENDAS LORES,TIENDAS LORES (LOMA BONITA),CISAALMA,AV QUINTANA ROO No 7,CENTRO - LOMA BONITA,Loma Bonita,Barrio La Escobeta,68400,Loma Bonita,Oaxaca,"AV QUINTANA ROO No 7,Loma Bonita,Barrio La Escobeta,Loma Bonita,Oaxaca,68400","3158,38","69430,4",1186, ,,CUENCA,101
Pedido 444086,8/4/2026,A00574,TIENDAS LORES,TIENDAS LORES (RODRIGUEZ CLARA),CISAALMA,ALVARO OBREGON S/N,CENTRO - RODRIGUEZ CLARA,Juan Rodríguez Clara,La Unión,95670,,Veracruz,"ALVARO OBREGON S/N,Juan Rodríguez Clara,La Unión,,Veracruz,95670","1695,9",37274,242, ,,,101
Pedido 444082,8/4/2026,A00575,TIENDAS LORES,TIENDAS LORES (TEZONAPA),CISAALMA,5 DE MAYO No 30,CENTRO - TEZONAPA,Tezonapa,Barranca Seca,95096,Tezonapa,Veracruz,"5 DE MAYO No 30,Tezonapa,Barranca Seca,Tezonapa,Veracruz,95096","4490,6",101033,500, ,,,101
Pedido 444074,8/4/2026,A00576,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA),CISAALMA,5 DE MAYO No 806,CENTRO - TIERRA BLANCA,Tierra Blanca,Tierra Blanca Centro,95100,Tierra Blanca,Veracruz,"5 DE MAYO No 806,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100","4479,1",99096,1000, ,,,101
Pedido 444081,8/4/2026,A00577,TIENDAS LORES,TIENDAS LORES (VERACRUZ),CISAALMA,AV DIAZ MIRON 277,CENTRO - VERACRUZ,Veracruz,Veracruz Centro,91700,Veracruz,Veracruz,"AV DIAZ MIRON 277,Veracruz,Veracruz Centro,Veracruz,Veracruz,91700","600,4",14230,500, ,,VERACRUZ PUERTO,101
Pedido 416255,19/8/2024,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,,,,,,,Veracruz,",,,,Veracruz,",50,4650,4650,*ROTACION DE MERCA CADENA SORIANA-*MIRIAM G.-CANCN,*vobo ROLVERA.,CORDOBA,101
Pedido 417348,13/9/2024,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),PUBLICO,,,,,,,Veracruz,",,,,Veracruz,","1,5",360,360,*MUESTRE P AGENTES DE VENTAS MAYOREO.,*vobo MCANCINO.,CORDOBA,101
Pedido 443429,23/3/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",20,"829,98","746,982",*PROMOCION 20+2K MOSTRADOR.,*vobo MCANCINO.,CORDOBA,101
Pedido 443449,24/3/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",30,720,720,PD: 443448 SUC.0984 BODEGA AURRERA MACULTEPEC,,CORDOBA,101
Pedido 443741,30/3/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",120,11160,11160,avenitas xalapa y veracruz,,CORDOBA,101
Pedido 443899,1/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",4,372,372,*DESGUSTACIONESABR VERACRUZ.,*vobo JOLVERA.,CORDOBA,101
Pedido 443933,2/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",10,270,270,*CTES DE ZONA TUXTLA.,*vobo MCANCINO.,CORDOBA,101
Pedido 443946,2/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",20,"700,002","700,002",*SEMILLAS SAN LUIS/ LAVOR DE VENTA-100GR.,*vobo MCANCINO.,CORDOBA,101
