Empresa,EmbarqueMov,EmbarqueMovID,FechaEmision,Mes,Año,Vehiculo,Ruta,Peso (KG),Paquetes,Importe,EmbarqueMovMov,EmbarqueMovMovID,Articulo,Cantidad,PesoArticulo,Peso2,Cliente,Direccion,Latitud,Longitud,latLong,EmbarqueMovPeso,Categoria,Dias Viaje,Gasto Total,Valida peso (tn),Tipo,Propio / Perm.,Capacidad,Skill
ABC,Embarque,71453,07/01/2026,1,2026,C-26,CHIAPAS COSTA,30007,3273,772655,,FA570276,ABC,3223,9,29007,Central de Abastos Tapachula,Carr. Costera Km 2.5,14.8872,-92.273,"14.8872,-92.273",30007,ZONA C,#N/A,#N/A,#N/A,#N/A,#N/A,30000,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570498,ABC,150,25,3750,Abarrotera Central Tuxtlas,Galeana,18.448,-95.2135,"18.448,-95.2135",4419,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570378,ABC,118.00236,24.3,2867.46,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",11404.21,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570378,ABC,92.00184,27.21,2503.37,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",11404.21,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570378,ABC,90.0018,27.21,2448.95,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",11404.21,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71459,07/01/2026,1,2026,C-12,VERACRUZ PUERTO,9122.42,1108,207794.2,,FA570380,ABC,100,20,2000,Distribuidora Los Volcanes,Pino Suarez,19.182,-96.148,"19.182,-96.148",2000,DETALLE,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570378,ABC,56,30,1680,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",11404.21,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570542,ABC,60,25,1500,Distribuidora Piñera,Hidalgo,18.109,-95.879,"18.109,-95.879",3839.56,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570501,ABC,60,25,1500,Comercializadora Tuxtepecana,Arteaga,18.0855,-96.1245,"18.0855,-96.1245",2000,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570462,ABC,50.001,27.21,1360.53,Bodegas de Granos del Sur,Zona Industrial,18.098,-96.105,"18.098,-96.105",1846.54,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570538,ABC,150,9,1350,Bodegas Lores Loma,Zaragoza,18.108,-95.878,"18.108,-95.878",4750,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570264,ABC,210,6,1260,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",3028,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570538,ABC,50,25,1250,Bodegas Lores Loma,Zaragoza,18.108,-95.878,"18.108,-95.878",4750,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71453,07/01/2026,1,2026,C-26,CHIAPAS COSTA,30007,3273,772655,,FA570276,ABC,50,20,1000,Central de Abastos Tapachula,Carr. Costera Km 2.6,14.8872,-92.273,"14.8872,-92.273",30007,ZONA C,#N/A,#N/A,#N/A,#N/A,#N/A,30000,convoy_10am
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570264,ABC,100,10,1000,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",3028,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570542,ABC,40,25,1000,Distribuidora Piñera,Hidalgo,18.109,-95.879,"18.109,-95.879",3839.56,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570500,ABC,40,25,1000,Abarrotes El Cuenca,Carranza,18.089,-96.121,"18.089,-96.121",1090,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570503,ABC,40,25,1000,Abarrotes Valle Nacional,Independencia,17.778,-96.315,"17.778,-96.315",1278,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71459,07/01/2026,1,2026,C-12,VERACRUZ PUERTO,9122.42,1108,207794.2,,FA570400,ABC,40,25,1000,Central de Abastos Veracruz,San Julian Carr. Xalapa,19.145,-96.175,"19.145,-96.175",1000,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,40,24,960,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570388,ABC,35.0007,27.21,952.37,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",952.37,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570538,ABC,100,9,900,Bodegas Lores Loma,Zaragoza,18.108,-95.878,"18.108,-95.878",4750,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570538,ABC,100,9,900,Bodegas Lores Loma,Zaragoza,18.108,-95.878,"18.108,-95.878",4750,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71455,07/01/2026,1,2026,C-22B,MEXICO,4461.59,6082,132932.4,,FA570249,ABC,32.00064,27.21,870.74,Central de Abasto CDMX (Zona Abarrotes),Iztapalapa CDMX,19.374,-99.093,"19.374,-99.093",1029.14,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,6000,normal
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570463,ABC,36,24,864,Súper Sánchez Valle,Av. Principal,17.777,-96.313,"17.777,-96.313",3862.88,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570533,ABC,35,24,840,Tiendas Lores Tierra Blanca,Independencia,18.45,-96.35,"18.45,-96.35",2754.8,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570378,ABC,30.0006,27,810.02,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",11404.21,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570527,ABC,33,24,792,Mercado 20 de Noviembre,Serdán y Juárez,18.455,-96.345,"18.455,-96.345",3368,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570264,ABC,3.999999997,192,768,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",3028,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570410,ABC,32,24,768,Súper Sánchez Madero,Calle Madero,18.366,-95.799,"18.366,-95.799",3693.28,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570540,ABC,30,25,750,Abarrotes La Piña,Madero,18.105,-95.875,"18.105,-95.875",1076.6,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570273,ABC,30.0006,24.3,729.01,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",729.01,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71455,07/01/2026,1,2026,C-22B,MEXICO,4461.59,6082,132932.4,,FA570248,ABC,30.0006,24.3,729.01,Central de Abasto CDMX (Zona Abarrotes),Iztapalapa CDMX,19.374,-99.093,"19.374,-99.093",997.85,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,6000,normal
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570378,ABC,24.00048,30,720.01,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",11404.21,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570364,ABC,80,9,720,Bodegas Lores Centro,Ruiz Cortines,18.365,-95.798,"18.365,-95.798",2698,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570364,ABC,80,9,720,Bodegas Lores Centro,Ruiz Cortines,18.365,-95.798,"18.365,-95.798",2698,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570424,ABC,26,25,650,Mercado Municipal 5 de Febrero,Centro San Andrés,18.4485,-95.213,"18.4485,-95.213",680,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570479,ABC,25,25,625,Mercado Vicente Guerrero,16 de Septiembre,18.1065,-95.877,"18.1065,-95.877",1243,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570441,ABC,26,24,624,Súper Sánchez Santiago,Juarez Santiago T.,18.46,-95.304,"18.46,-95.304",2628,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570274,ABC,18,30,540,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",919.06,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570410,ABC,59,9,531,Súper Sánchez Madero,Calle Madero,18.366,-95.799,"18.366,-95.799",3693.28,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570457,ABC,25,20,500,Súper Sánchez 5 de Mayo,Av. 5 de Mayo,18.085,-96.125,"18.085,-96.125",1191,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570449,ABC,20,25,500,Abarrotes El Cuenca,Carranza,18.089,-96.121,"18.089,-96.121",675.5,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570501,ABC,20,25,500,Comercializadora Tuxtepecana,Arteaga,18.0855,-96.1245,"18.0855,-96.1245",2000,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570452,ABC,20,25,500,Abarrotes San Felipe,Aldama,18.082,-96.128,"18.082,-96.128",558,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570496,ABC,50,10,500,Distribuidora La Sierra,Entrada a Valle Nacional,17.78,-96.32,"17.78,-96.32",1024.6,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570421,ABC,55,9,495,Bodega Central Granos,Cerca del Ingenio,18.605,-96.765,"18.605,-96.765",3393.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570275,ABC,20.0004,24.3,486.01,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",1030.84,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570462,ABC,20.0004,24.3,486.01,Bodegas de Granos del Sur,Zona Industrial,18.098,-96.105,"18.098,-96.105",1846.54,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71455,07/01/2026,1,2026,C-22B,MEXICO,4461.59,6082,132932.4,,FA570262,ABC,20.0004,24.3,486.01,Central de Abasto CDMX (Zona Abarrotes),Iztapalapa CDMX,19.374,-99.093,"19.374,-99.093",564.01,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,6000,convoy_10am
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570362,ABC,20,24,480,Bodegas Lores Centro,Ruiz Cortines,18.365,-95.798,"18.365,-95.798",1267.4,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570410,ABC,53,9,477,Súper Sánchez Madero,Calle Madero,18.366,-95.799,"18.366,-95.799",3693.28,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570527,ABC,51,9,459,Mercado 20 de Noviembre,Serdán y Juárez,18.455,-96.345,"18.455,-96.345",3368,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570362,ABC,50,9,450,Bodegas Lores Centro,Ruiz Cortines,18.365,-95.798,"18.365,-95.798",1267.4,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570352,ABC,50,9,450,Comercializadora del Sur,Calle Ocampo,18.364,-95.797,"18.364,-95.797",973,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570402,ABC,50,9,450,Comercial del Golfo,Mina,18.3645,-95.7975,"18.3645,-95.7975",1313.7,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71455,07/01/2026,1,2026,C-22B,MEXICO,4461.59,6082,132932.4,,FA570251,ABC,16.00032,27.21,435.37,Central de Abasto CDMX (Zona Abarrotes),Iztapalapa CDMX,19.374,-99.093,"19.374,-99.093",813.38,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,6000,normal
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570421,ABC,47,9,423,Bodega Central Granos,Cerca del Ingenio,18.605,-96.765,"18.605,-96.765",3393.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570456,ABC,17,24,408,Diconsa Almacén Rural,Carr. a Cerro de Oro,18.08,-96.115,"18.08,-96.115",1603.6,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570445,ABC,17,24,408,Mayoristas Tuxtlas,Col. El Arenal,18.453,-95.207,"18.453,-95.207",1899.2,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570410,ABC,45,9,405,Súper Sánchez Madero,Calle Madero,18.366,-95.799,"18.366,-95.799",3693.28,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570474,ABC,45,9,405,Bodega Lores Valle,Juarez,17.781,-96.319,"17.781,-96.319",1323.8,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570481,ABC,40,10,400,Bodega Granos Valle,Mina,17.785,-96.324,"17.785,-96.324",510,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570511,ABC,40,10,400,Tiendas Lores Sucursal Sur,Carr. a Tres Valles,18.44,-96.36,"18.44,-96.36",825,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570451,ABC,15,25,375,Abarrotes El Cuenca,Carranza,18.089,-96.121,"18.089,-96.121",870.36,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71459,07/01/2026,1,2026,C-12,VERACRUZ PUERTO,9122.42,1108,207794.2,,FA570349,ABC,15,25,375,Súper Sánchez Veracruz,Díaz Mirón,19.17,-96.13,"19.17,-96.13",375,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570423,ABC,15,25,375,Mayoristas Zongolica Sur,Allende,18.611,-96.771,"18.611,-96.771",721,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570268,ABC,15.0003,24.3,364.51,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",391.51,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570410,ABC,39,9,351,Súper Sánchez Madero,Calle Madero,18.366,-95.799,"18.366,-95.799",3693.28,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570560,ABC,38,9,342,Comercializadora Loma,Ocampo,18.104,-95.874,"18.104,-95.874",1462.1,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71467,07/01/2026,1,2026,C-13,LOMA,16783.64,1459,389268.4,,FA570564,ABC,14,24,336,Bodega Central Loma,Carr. Estatal,18.103,-95.873,"18.103,-95.873",1324.18,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570527,ABC,37,9,333,Mercado 20 de Noviembre,Serdán y Juárez,18.455,-96.345,"18.455,-96.345",3368,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570463,ABC,36,9,324,Súper Sánchez Valle,Av. Principal,17.777,-96.313,"17.777,-96.313",3862.88,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570533,ABC,35,9,315,Tiendas Lores Tierra Blanca,Independencia,18.45,-96.35,"18.45,-96.35",2754.8,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570407,ABC,13,24,312,Súper Sánchez Centro,Hidalgo,18.363,-95.798,"18.363,-95.798",1135.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
