Direccion,Latitud,Longitud,Exactitud,Score,Riesgo,Manual
"CARR FEDERAL FORTIN HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CARR FORTIN-HUATUSCO 830 A,Fortín,Hermosa Provincia,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90746,-96.99354,Alta,82,Bajo,SI
"AV 21 FRACCIONAMIENTO JARDINES SAN DIMAS 1608,Córdoba,San Dimas,Córdoba,Veracruz,94570, Veracruz, 94570, MX",18.87554,-96.93029,No confiable,NaN,Bajo,NO
"5 ORIENTE 329,Tehuacán,Centro de la Ciudad,Tehuacan,Puebla,75700, Puebla, 75700, MX",18.4588,-97.39012,Exacta,224,Bajo,NO
"AV 2 No 1269,San Miguel Soyaltepec,Temascal,,Oaxaca,68430, Oaxaca, 68430, MX",18.24238,-96.40012,Exacta,208,Bajo,NO
"M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,Playa Vicente,Lomas Verdes,Playa Vicente,Veracruz,95600, Veracruz, 95600, MX",17.83062,-95.8132,No confiable,NaN,Bajo,NO
"AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,José Azueta,Valle Dorado,,Veracruz,95580, Veracruz, 95580, MX",18.07732,-95.70663,Exacta,224,Bajo,NO
"BOULEVARD BENITO JUAREZ Y CARR OJITLAN,San Juan Bautista Tuxtepec,Loma Alta,San Juan Bautista Tuxtepec,Oaxaca,68350, Oaxaca, 68350, MX",18.08488,-96.13629,Alta,2090,Bajo,NO
"AVENIDA 5 DE MAYO Y MATAMOROS,San Juan Bautista Tuxtepec,Tuxtepec Centro,San Juan Bautista Tuxtepec,Oaxaca,68300, Oaxaca, 68300, MX",18.08368,-96.12567,No confiable,NaN,Bajo,NO
"AV.RUIZ CORTINES No 300,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400, Veracruz, 95400, MX",18.36497,-95.79528,Exacta,226,Bajo,NO
