Empresa,EmbarqueMov,EmbarqueMovID,FechaEmision,Mes,Año,Vehiculo,Ruta,Peso (KG),Paquetes,Importe,EmbarqueMovMov,EmbarqueMovMovID,Articulo,Cantidad,PesoArticulo,Peso2,Cliente,Direccion,Latitud,Longitud,latLong,EmbarqueMovPeso,Categoria,Dias Viaje,Gasto Total,Valida peso (tn),Tipo,Propio / Perm.,Capacidad
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570341,ABC,30,9,270,Abarrotes El Crucero,Av. Emiliano Zapata,18.608,-96.768,"18.608,-96.768",560,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570341,ABC,20,9,180,Abarrotes El Crucero,Av. Emiliano Zapata,18.608,-96.768,"18.608,-96.768",560,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,5,10,50,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,2,10,20,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,5,9,45,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,8,25,200,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,3,10,30,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,4,10,40,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,2,25,50,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,40,24,960,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,2,5,10,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71450,07/01/2026,1,2026,C-17,ORIZABA,1708,86,37657.6,,FA570227,ABC,2,10,20,Mercado Cerritos,Poniente 32,18.868,-97.1,"18.868,-97.1",1425,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71458,07/01/2026,1,2026,C-17B,ORIZABA,2262.2,129,54425,,FA570316,ABC,10,25,250,Mercado Emiliano Zapata,Oriente 11,18.855,-97.105,"18.855,-97.105",350,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71458,07/01/2026,1,2026,C-17B,ORIZABA,2262.2,129,54425,,FA570316,ABC,4,25,100,Mercado Emiliano Zapata,Oriente 11,18.855,-97.105,"18.855,-97.105",350,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71458,07/01/2026,1,2026,C-17B,ORIZABA,2262.2,129,54425,,FA570285,ABC,1,4.8,4.8,Central de Abastos Orizaba,Jalapilla,18.835,-97.085,"18.835,-97.085",57.6,MOSTRADOR,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71458,07/01/2026,1,2026,C-17B,ORIZABA,2262.2,129,54425,,FA570285,ABC,3,10,30,Central de Abastos Orizaba,Jalapilla,18.835,-97.085,"18.835,-97.085",57.6,MOSTRADOR,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71458,07/01/2026,1,2026,C-17B,ORIZABA,2262.2,129,54425,,FA570285,ABC,2,9,18,Central de Abastos Orizaba,Jalapilla,18.835,-97.085,"18.835,-97.085",57.6,MOSTRADOR,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71458,07/01/2026,1,2026,C-17B,ORIZABA,2262.2,129,54425,,FA570285,ABC,1,4.8,4.8,Central de Abastos Orizaba,Jalapilla,18.835,-97.085,"18.835,-97.085",57.6,MOSTRADOR,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71458,07/01/2026,1,2026,C-17B,ORIZABA,2262.2,129,54425,,FA570287,ABC,1,5,5,Central de Abastos Orizaba,Jalapilla,18.835,-97.085,"18.835,-97.085",77,MOSTRADOR,#N/A,#N/A,#N/A,#N/A,#N/A,4000
ABC,Embarque,71455,07/01/2026,1,2026,C-22B,MEXICO,4461.59,6082,132932.4,,FA570248,ABC,35.00028,4.8,168,Central de Abasto CDMX (Zona Abarrotes),Iztapalapa CDMX,19.374,-99.093,"19.374,-99.093",997.85,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,6000
