Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Direccion actualizada,Latitud,Longitud,LatLong,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 444087,8/4/2026,A00564,TIENDAS LORES,TIENDAS LORES (TEMAZCAL),CISAALMA,AV 2 No 1269,CENTRO - TEMAZCAL,San Miguel Soyaltepec,Temascal,68430,,Oaxaca,"AV 2 No 1269,San Miguel Soyaltepec,Temascal,,Oaxaca,68430","AV 2 No 1269,San Miguel Soyaltepec,Temascal,,Oaxaca,68430, Oaxaca, 68430, MX",18.24238,-96.40012,"18.24238,-96.40012",2989.74,"66839,2",500,,,TIERRA BLANCA,101
Pedido 444084,8/4/2026,A00565,TIENDAS LORES,TIENDAS LORES (PLAYA VICENTE),CISAALMA,M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,CENTRO - PLAYA VICENTE,Playa Vicente,Lomas Verdes,95600,Playa Vicente,Veracruz,"M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,Playa Vicente,Lomas Verdes,Playa Vicente,Veracruz,95600","M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,Playa Vicente,Lomas Verdes,Playa Vicente,Veracruz,95600, Veracruz, 95600, MX",17.83062,-95.8132,"17.83062,-95.8132",1292.08,"28658,8",928,,,TUXTEPEC,101
Pedido 444085,8/4/2026,A00566,TIENDAS LORES,TIENDAS LORES (VILLA AZUETA),CISAALMA,AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,CENTRO - VILLA AZUETA,José Azueta,Valle Dorado,95580,,Veracruz,"AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,José Azueta,Valle Dorado,,Veracruz,95580","AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,José Azueta,Valle Dorado,,Veracruz,95580, Veracruz, 95580, MX",18.07732,-95.70663,"18.07732,-95.70663",1664.9,36350,686,,,CUENCA,101
Pedido 444079,8/4/2026,A00567,TIENDAS LORES,TIENDAS LORES (BOULEVARD),CISAALMA,BOULEVARD BENITO JUAREZ Y CARR OJITLAN,MARIA EUGENIA - TUXTEPEC,San Juan Bautista Tuxtepec,Loma Alta,68350,San Juan Bautista Tuxtepec,Oaxaca,"BOULEVARD BENITO JUAREZ Y CARR OJITLAN,San Juan Bautista Tuxtepec,Loma Alta,San Juan Bautista Tuxtepec,Oaxaca,68350","BOULEVARD BENITO JUAREZ Y CARR OJITLAN,San Juan Bautista Tuxtepec,Loma Alta,San Juan Bautista Tuxtepec,Oaxaca,68350, Oaxaca, 68350, MX",18.08488,-96.13629,"18.08488,-96.13629",2931.88,"64196,4",500,,,TUXTEPEC,101
Pedido 444075,8/4/2026,A00568,TIENDAS LORES,TIENDAS LORES (CENTRO),CISAALMA,AVENIDA 5 DE MAYO Y MATAMOROS,CENTRO - TUXTEPEC,San Juan Bautista Tuxtepec,Tuxtepec Centro,68300,San Juan Bautista Tuxtepec,Oaxaca,"AVENIDA 5 DE MAYO Y MATAMOROS,San Juan Bautista Tuxtepec,Tuxtepec Centro,San Juan Bautista Tuxtepec,Oaxaca,68300","AVENIDA 5 DE MAYO Y MATAMOROS,San Juan Bautista Tuxtepec,Tuxtepec Centro,San Juan Bautista Tuxtepec,Oaxaca,68300, Oaxaca, 68300, MX",18.08368,-96.12567,"18.08368,-96.12567",7796.6,170272,686,,,TUXTEPEC,101
Pedido 444076,8/4/2026,A00569,TIENDAS LORES,TIENDAS LORES (COSAMALOAPAN),CISAALMA,AV.RUIZ CORTINES No 300,CENTRO - COSAMALOAPAN,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,95400,Cosamaloapan,Veracruz,"AV.RUIZ CORTINES No 300,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400","AV.RUIZ CORTINES No 300,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400, Veracruz, 95400, MX",18.36497,-95.79528,"18.36497,-95.79528",5913.86,"127922,2",1000,,,LOS TUXTLAS,101
Pedido 444077,8/4/2026,A00572,TIENDAS LORES,TIENDAS LORES (ISLA),CISAALMA,RAUL SANDOVAL No 30,CENTRO - ISLA,Isla,Isla Centro,95640,Isla,Veracruz,"RAUL SANDOVAL No 30,Isla,Isla Centro,Isla,Veracruz,95640","RAUL SANDOVAL No 30,Isla,Isla Centro,Isla,Veracruz,95640, Veracruz, 95640, MX",18.02349,-95.5295,"18.02349,-95.5295",2480.2,54679,242,,,CUENCA,101
Pedido 444078,8/4/2026,A00573,TIENDAS LORES,TIENDAS LORES (LOMA BONITA),CISAALMA,AV QUINTANA ROO No 7,CENTRO - LOMA BONITA,Loma Bonita,Barrio La Escobeta,68400,Loma Bonita,Oaxaca,"AV QUINTANA ROO No 7,Loma Bonita,Barrio La Escobeta,Loma Bonita,Oaxaca,68400","AV QUINTANA ROO No 7,Loma Bonita,Barrio La Escobeta,Loma Bonita,Oaxaca,68400, Oaxaca, 68400, MX",18.107,-95.88077,"18.107,-95.88077",3158.38,"69430,4",1186,,,CUENCA,101
Pedido 444086,8/4/2026,A00574,TIENDAS LORES,TIENDAS LORES (RODRIGUEZ CLARA),CISAALMA,ALVARO OBREGON S/N,CENTRO - RODRIGUEZ CLARA,Juan Rodríguez Clara,La Unión,95670,,Veracruz,"ALVARO OBREGON S/N,Juan Rodríguez Clara,La Unión,,Veracruz,95670","ALVARO OBREGON S/N,Juan Rodríguez Clara,La Unión,,Veracruz,95670, Veracruz, 95670, MX",17.89314,-95.3431,"17.89314,-95.3431",1695.9,37274,242,,,,101
Pedido 444082,8/4/2026,A00575,TIENDAS LORES,TIENDAS LORES (TEZONAPA),CISAALMA,5 DE MAYO No 30,CENTRO - TEZONAPA,Tezonapa,Barranca Seca,95096,Tezonapa,Veracruz,"5 DE MAYO No 30,Tezonapa,Barranca Seca,Tezonapa,Veracruz,95096","5 DE MAYO No 30,Tezonapa,Barranca Seca,Tezonapa,Veracruz,95096, Veracruz, 95096, MX",18.60404,-96.68519,"18.60404,-96.68519",4490.6,101033,500,,,,101
